,model_name,learning_rate,batch_size_train,step,train_loss,train_accuracy,f1_score_train,test_loss,test_accuracy,f1_score_test,time
58,bert-base-uncased,5e-05,32,1900,0.0,1.0,1.0,0.0276,99.6481,0.9875,0:27:08
59,bert-base-uncased,5e-05,32,2000,0.0,1.0,1.0,0.0276,99.6481,0.9875,0:28:30
60,bert-base-cased,3e-05,64,100,0.005,1.0,1.0,0.0503,98.6629,0.9542,0:02:17
61,bert-base-cased,3e-05,64,200,0.0002,1.0,1.0,0.0214,99.5074,0.9825,0:04:33
62,bert-base-cased,3e-05,64,300,0.0006,1.0,1.0,0.0204,99.5074,0.9827,0:07:00
63,bert-base-cased,3e-05,64,400,0.0001,1.0,1.0,0.0213,99.5778,0.9849,0:09:25
64,bert-base-cased,3e-05,64,500,0.0001,1.0,1.0,0.0229,99.5778,0.9849,0:11:54
65,bert-base-cased,3e-05,64,600,0.0001,1.0,1.0,0.0293,99.3666,0.9777,0:14:21
66,bert-base-cased,3e-05,64,700,0.0001,1.0,1.0,0.0315,99.5778,0.9848,0:16:49
67,bert-base-cased,3e-05,64,800,0.0,1.0,1.0,0.0308,99.6481,0.9874,0:19:19
68,bert-base-cased,3e-05,64,900,0.0,1.0,1.0,0.0308,99.6481,0.9874,0:21:51
69,bert-base-cased,3e-05,64,1000,0.0,1.0,1.0,0.0308,99.6481,0.9874,0:24:23
70,bert-base-cased,3e-05,64,1100,0.0,1.0,1.0,0.0308,99.6481,0.9874,0:26:54
71,bert-base-cased,3e-05,64,1200,0.0,1.0,1.0,0.0308,99.6481,0.9874,0:29:22
72,bert-base-cased,3e-05,64,1300,0.0,1.0,1.0,0.0308,99.6481,0.9874,0:31:46
73,bert-base-cased,3e-05,64,1400,0.0,1.0,1.0,0.0308,99.6481,0.9874,0:34:13
74,bert-base-cased,3e-05,64,1500,0.0,1.0,1.0,0.0309,99.6481,0.9874,0:36:40
75,bert-base-cased,3e-05,64,1600,0.0,1.0,1.0,0.0309,99.6481,0.9874,0:39:14
76,bert-base-cased,3e-05,64,1700,0.0,1.0,1.0,0.0309,99.6481,0.9874,0:41:42
77,bert-base-cased,3e-05,64,1800,0.0,1.0,1.0,0.031,99.6481,0.9874,0:44:08
78,bert-base-cased,3e-05,64,1900,0.0,1.0,1.0,0.031,99.6481,0.9874,0:46:37
79,bert-base-cased,3e-05,64,2000,0.0,1.0,1.0,0.031,99.6481,0.9874,0:49:06
80,distilbert-base-uncased,5e-05,64,100,0.0608,0.9844,0.9831,0.052,98.5925,0.9512,0:01:06
81,distilbert-base-uncased,5e-05,64,200,0.0009,1.0,1.0,0.0159,99.437,0.9801,0:02:11
82,distilbert-base-uncased,5e-05,64,300,0.0003,1.0,1.0,0.0172,99.7185,0.9899,0:03:17
83,distilbert-base-uncased,5e-05,64,400,0.0001,1.0,1.0,0.0214,99.5778,0.985,0:04:22
84,distilbert-base-uncased,5e-05,64,500,0.0,1.0,1.0,0.0203,99.5074,0.9825,0:05:29
85,distilbert-base-uncased,5e-05,64,600,0.0,1.0,1.0,0.0187,99.6481,0.9875,0:06:34
86,distilbert-base-uncased,5e-05,64,700,0.0,1.0,1.0,0.0194,99.6481,0.9875,0:07:40
87,distilbert-base-uncased,5e-05,64,800,0.0,1.0,1.0,0.0201,99.5778,0.985,0:08:45
88,distilbert-base-uncased,5e-05,64,900,0.0,1.0,1.0,0.0207,99.5778,0.985,0:09:51
89,distilbert-base-uncased,5e-05,64,1000,0.0,1.0,1.0,0.0212,99.5778,0.985,0:10:57
90,distilbert-base-uncased,5e-05,64,1100,0.0,1.0,1.0,0.0217,99.5074,0.9825,0:12:02
91,distilbert-base-uncased,5e-05,64,1200,0.0,1.0,1.0,0.0221,99.5074,0.9825,0:13:08
92,distilbert-base-uncased,5e-05,64,1300,0.0,1.0,1.0,0.0225,99.5074,0.9825,0:14:13
93,distilbert-base-uncased,5e-05,64,1400,0.0,1.0,1.0,0.0228,99.5074,0.9825,0:15:19
94,distilbert-base-uncased,5e-05,64,1500,0.0,1.0,1.0,0.0231,99.5074,0.9825,0:16:25
95,distilbert-base-uncased,5e-05,64,1600,0.0,1.0,1.0,0.0233,99.5074,0.9825,0:17:31
96,distilbert-base-uncased,5e-05,64,1700,0.0,1.0,1.0,0.0234,99.5074,0.9825,0:18:36
97,distilbert-base-uncased,5e-05,64,1800,0.0,1.0,1.0,0.0236,99.5074,0.9825,0:19:42
98,distilbert-base-uncased,5e-05,64,1900,0.0,1.0,1.0,0.0236,99.5074,0.9825,0:20:48
99,distilbert-base-uncased,5e-05,64,2000,0.0,1.0,1.0,0.0237,99.5074,0.9825,0:21:53
